Severity	Code	Description	Project	File	Line	Suppression State	Details
Error (active)	CS0111	Type 'WindowsServices' already defines a member called 'MakeWindowClickable' with the same parameter types	VideoOverlay	E:\Downlods\GameStreamOverlay2-main(1)\GameStreamOverlay2-main\VideoOverlay\WindowsServices.cs	34		
Error (active)	CS8646	'IComponentConnector.Connect(int, object)' is explicitly implemented more than once.	VideoOverlay	E:\Downlods\GameStreamOverlay2-main(1)\GameStreamOverlay2-main\VideoOverlay\MainWindow.xaml.cs	11		
Error (active)	CS0102	The type 'App' already contains a definition for '_contentLoaded'	VideoOverlay	E:\Downlods\GameStreamOverlay2-main(1)\GameStreamOverlay2-main\VideoOverlay\obj\Debug\net6.0-windows\App.g.cs	45		
Error (active)	CS0111	Type 'App' already defines a member called 'InitializeComponent' with the same parameter types	VideoOverlay	E:\Downlods\GameStreamOverlay2-main(1)\GameStreamOverlay2-main\VideoOverlay\obj\Debug\net6.0-windows\App.g.cs	52		
Error (active)	CS0102	The type 'MainWindow' already contains a definition for '_contentLoaded'	VideoOverlay	E:\Downlods\GameStreamOverlay2-main(1)\GameStreamOverlay2-main\VideoOverlay\obj\Debug\net6.0-windows\VideoOverlay\MainWindow.g.cs	61		
Error (active)	CS0111	Type 'MainWindow' already defines a member called 'InitializeComponent' with the same parameter types	VideoOverlay	E:\Downlods\GameStreamOverlay2-main(1)\GameStreamOverlay2-main\VideoOverlay\obj\Debug\net6.0-windows\VideoOverlay\MainWindow.g.cs	68		
Error (active)	CS0111	Type 'MainWindow' already defines a member called 'System.Windows.Markup.IComponentConnector.Connect' with the same parameter types	VideoOverlay	E:\Downlods\GameStreamOverlay2-main(1)\GameStreamOverlay2-main\VideoOverlay\obj\Debug\net6.0-windows\VideoOverlay\MainWindow.g.cs	88		
Error (active)	CS0102	The type 'SettingsWindow' already contains a definition for '_contentLoaded'	VideoOverlay	E:\Downlods\GameStreamOverlay2-main(1)\GameStreamOverlay2-main\VideoOverlay\obj\Debug\net6.0-windows\VideoOverlay\SettingsWindow.g.cs	85		
Error (active)	CS0111	Type 'SettingsWindow' already defines a member called 'InitializeComponent' with the same parameter types	VideoOverlay	E:\Downlods\GameStreamOverlay2-main(1)\GameStreamOverlay2-main\VideoOverlay\obj\Debug\net6.0-windows\VideoOverlay\SettingsWindow.g.cs	92		
Error (active)	CS0111	Type 'SettingsWindow' already defines a member called 'System.Windows.Markup.IComponentConnector.Connect' with the same parameter types	VideoOverlay	E:\Downlods\GameStreamOverlay2-main(1)\GameStreamOverlay2-main\VideoOverlay\obj\Debug\net6.0-windows\VideoOverlay\SettingsWindow.g.cs	112		
Error (active)	CS0102	The type 'VideoOverlayControl' already contains a definition for '_contentLoaded'	VideoOverlay	E:\Downlods\GameStreamOverlay2-main(1)\GameStreamOverlay2-main\VideoOverlay\obj\Debug\net6.0-windows\VideoOverlay\VideoOverlayControl.g.cs	70		
Error (active)	CS0111	Type 'VideoOverlayControl' already defines a member called 'InitializeComponent' with the same parameter types	VideoOverlay	E:\Downlods\GameStreamOverlay2-main(1)\GameStreamOverlay2-main\VideoOverlay\obj\Debug\net6.0-windows\VideoOverlay\VideoOverlayControl.g.cs	77		
Error (active)	CS0111	Type 'VideoOverlayControl' already defines a member called 'System.Windows.Markup.IComponentConnector.Connect' with the same parameter types	VideoOverlay	E:\Downlods\GameStreamOverlay2-main(1)\GameStreamOverlay2-main\VideoOverlay\obj\Debug\net6.0-windows\VideoOverlay\VideoOverlayControl.g.cs	97		
Error (active)	CS8646	'IComponentConnector.Connect(int, object)' is explicitly implemented more than once.	VideoOverlay	E:\Downlods\GameStreamOverlay2-main(1)\GameStreamOverlay2-main\VideoOverlay\SettingsWindow.xaml.cs	7		
Error (active)	CS8646	'IComponentConnector.Connect(int, object)' is explicitly implemented more than once.	VideoOverlay	E:\Downlods\GameStreamOverlay2-main(1)\GameStreamOverlay2-main\VideoOverlay\VideoOverlayControl.xaml.cs	11		
Error (active)	CS0246	The type or namespace name 'Task' could not be found (are you missing a using directive or an assembly reference?)	VideoOverlay	E:\Downlods\GameStreamOverlay2-main(1)\GameStreamOverlay2-main\VideoOverlay\VideoOverlayControl.xaml.cs	283		
